127.0.0.1 - - [29/Jun/2023:21:18:44 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:18:47 +0530] "GET /EnotesProject/index.jsp HTTP/1.1" 200 1135
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:18:47 +0530] "GET /EnotesProject/css/style.css HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:19:41 +0530] "GET /EnotesProject/index.jsp HTTP/1.1" 200 1135
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:19:42 +0530] "GET /EnotesProject/css/style.css HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:19:43 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:20:23 +0530] "GET /EnotesProject/index.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:20:29 +0530] "GET /EnotesProject/index.jsp HTTP/1.1" 200 1135
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:23:22 +0530] "GET /EnotesProject/index.jsp HTTP/1.1" 200 1135
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:23:38 +0530] "GET /EnotesProject/index.jsp HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:24:31 +0530] "GET /EnotesProject/index.jsp HTTP/1.1" 200 2757
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:29:04 +0530] "GET /EnotesProject/index.jsp HTTP/1.1" 200 2757
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:29:04 +0530] "GET /EnotesProject/css/style.css HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:30:41 +0530] "GET /EnotesProject/index.jsp HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:30:41 +0530] "GET /EnotesProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:32:30 +0530] "GET /EnotesProject/index.jsp HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:32:30 +0530] "GET /EnotesProject/css/style.css HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:32:32 +0530] "GET /EnotesProject/index.jsp HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:32:32 +0530] "GET /EnotesProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:32:40 +0530] "GET /EnotesProject/index.jsp HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:32:40 +0530] "GET /EnotesProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:32:41 +0530] "GET /EnotesProject/index.jsp HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:32:41 +0530] "GET /EnotesProject/index.jsp HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:32:53 +0530] "GET /EnotesProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:33:10 +0530] "GET /EnotesProject/index.jsp HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:33:10 +0530] "GET /EnotesProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:33:51 +0530] "GET /EnotesProject/index.jsp HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:33:52 +0530] "GET /EnotesProject/css/style.css HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:35:00 +0530] "GET /EnotesProject/index.jsp HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:35:00 +0530] "GET /EnotesProject/css/style.css HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:35:11 +0530] "GET /EnotesProject/index.jsp HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:35:11 +0530] "GET /EnotesProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:36:42 +0530] "GET /EnotesProject/index.jsp HTTP/1.1" 200 2215
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:36:42 +0530] "GET /EnotesProject/css/style.css HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:37:19 +0530] "GET /EnotesProject/index.jsp HTTP/1.1" 200 2215
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:37:19 +0530] "GET /EnotesProject/css/style.css HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:38:02 +0530] "GET /EnotesProject/index.jsp HTTP/1.1" 200 2215
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:38:03 +0530] "GET /EnotesProject/css/style.css HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:39:32 +0530] "GET /EnotesProject/index.jsp HTTP/1.1" 200 2148
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:39:32 +0530] "GET /EnotesProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:41:02 +0530] "GET /EnotesProject/index.jsp HTTP/1.1" 200 2128
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:41:02 +0530] "GET /EnotesProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:41:28 +0530] "GET /EnotesProject/index.jsp HTTP/1.1" 200 2133
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:41:28 +0530] "GET /EnotesProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:44:38 +0530] "GET /EnotesProject/index.jsp HTTP/1.1" 200 2178
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:44:38 +0530] "GET /EnotesProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2023:21:46:18 +0530] "GET /EnotesProject/index.jsp HTTP/1.1" 200 2230
