127.0.0.1 - - [24/Jul/2023:11:22:47 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:22:49 +0530] "GET /EnotesProject/ HTTP/1.1" 200 3350
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:22:49 +0530] "GET /EnotesProject/css/style.css HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:22:50 +0530] "GET /EnotesProject/img/enotes%20background%20image2.jpg HTTP/1.1" 200 57668
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:22:50 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:22:53 +0530] "GET /EnotesProject/login.jsp HTTP/1.1" 200 3716
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:23:46 +0530] "POST /EnotesProject/loginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:23:46 +0530] "GET /EnotesProject/home.jsp HTTP/1.1" 200 5104
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:23:46 +0530] "GET /EnotesProject/img/notepad-3297994_640.jpg HTTP/1.1" 200 54920
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:23:54 +0530] "GET /EnotesProject/addNotes.jsp HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:25:50 +0530] "GET /EnotesProject/addNotes.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:25:55 +0530] "GET /EnotesProject/addNotes.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:32:04 +0530] "GET /EnotesProject/home.jsp HTTP/1.1" 200 5104
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:32:07 +0530] "GET /EnotesProject/addNotes.jsp HTTP/1.1" 200 4547
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:32:17 +0530] "GET /EnotesProject/addNotes.jsp HTTP/1.1" 200 4547
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:43:11 +0530] "GET /EnotesProject/addNotes.jsp HTTP/1.1" 200 4990
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:45:09 +0530] "GET /EnotesProject/addNotes.jsp HTTP/1.1" 200 5046
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:47:42 +0530] "GET /EnotesProject/addNotes.jsp HTTP/1.1" 200 5081
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:49:30 +0530] "GET /EnotesProject/addNotes.jsp HTTP/1.1" 200 5124
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:50:42 +0530] "GET /EnotesProject/addNotes.jsp HTTP/1.1" 200 5170
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:50:53 +0530] "GET /EnotesProject/addNotes.jsp HTTP/1.1" 200 5171
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:53:11 +0530] "GET /EnotesProject/addNotes.jsp HTTP/1.1" 200 5439
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:55:36 +0530] "GET /EnotesProject/index.jsp HTTP/1.1" 200 5391
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:55:41 +0530] "GET /EnotesProject/login.jsp HTTP/1.1" 200 5757
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:55:45 +0530] "GET /EnotesProject/register.jsp HTTP/1.1" 200 5982
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:55:48 +0530] "GET /EnotesProject/register.jsp HTTP/1.1" 200 5982
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:55:48 +0530] "GET /EnotesProject/register.jsp HTTP/1.1" 200 5982
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:55:53 +0530] "GET /EnotesProject/index.jsp HTTP/1.1" 200 5391
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:55:55 +0530] "GET /EnotesProject/register.jsp HTTP/1.1" 200 5982
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:56:02 +0530] "GET /EnotesProject/register.jsp HTTP/1.1" 200 5982
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:56:11 +0530] "GET /EnotesProject/register.jsp HTTP/1.1" 200 5982
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:56:24 +0530] "GET /EnotesProject/index.jsp HTTP/1.1" 200 5391
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:56:27 +0530] "GET /EnotesProject/login.jsp HTTP/1.1" 200 5757
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:56:36 +0530] "POST /EnotesProject/loginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:56:36 +0530] "GET /EnotesProject/home.jsp HTTP/1.1" 200 5104
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:56:54 +0530] "GET /EnotesProject/addNotes.jsp HTTP/1.1" 200 5439
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:58:37 +0530] "GET /EnotesProject/addNotes.jsp HTTP/1.1" 200 5444
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:59:09 +0530] "GET /EnotesProject/addNotes.jsp HTTP/1.1" 200 5444
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:59:26 +0530] "GET /EnotesProject/addNotes.jsp HTTP/1.1" 200 5444
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:59:42 +0530] "GET /EnotesProject/addNotes.jsp HTTP/1.1" 200 5444
0:0:0:0:0:0:0:1 - - [24/Jul/2023:11:59:52 +0530] "GET /EnotesProject/addNotes.jsp HTTP/1.1" 200 5444
0:0:0:0:0:0:0:1 - - [24/Jul/2023:12:00:00 +0530] "GET /EnotesProject/addNotes.jsp HTTP/1.1" 200 5444
