127.0.0.1 - - [02/Oct/2023:22:16:31 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:16:36 +0530] "GET /EnotesProject/ HTTP/1.1" 200 3376
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:16:37 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:16:47 +0530] "GET /EnotesProject/register.jsp HTTP/1.1" 200 3967
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:17:28 +0530] "POST /EnotesProject/UserServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:17:28 +0530] "GET /EnotesProject/register.jsp HTTP/1.1" 200 4098
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:18:26 +0530] "GET /EnotesProject/login.jsp HTTP/1.1" 200 3761
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:18:41 +0530] "POST /EnotesProject/loginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:18:41 +0530] "GET /EnotesProject/home.jsp HTTP/1.1" 200 5181
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:18:41 +0530] "GET /EnotesProject/img/notepad-3297994_640.jpg HTTP/1.1" 200 54920
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:18:50 +0530] "GET /EnotesProject/addNotes.jsp HTTP/1.1" 200 5793
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:20:08 +0530] "POST /EnotesProject/AddNotesServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:20:54 +0530] "POST /EnotesProject/AddNotesServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:21:45 +0530] "GET /EnotesProject/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:21:45 +0530] "GET /EnotesProject/login.jsp HTTP/1.1" 200 3879
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:21:50 +0530] "GET /EnotesProject/showNotes.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:21:50 +0530] "GET /EnotesProject/login.jsp HTTP/1.1" 200 3847
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:21:53 +0530] "GET /EnotesProject/addNotes.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:21:53 +0530] "GET /EnotesProject/login.jsp HTTP/1.1" 200 3847
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:21:56 +0530] "GET /EnotesProject/home.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:21:56 +0530] "GET /EnotesProject/login.jsp HTTP/1.1" 200 3847
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:22:02 +0530] "GET /EnotesProject/home.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:22:02 +0530] "GET /EnotesProject/login.jsp HTTP/1.1" 200 3847
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:22:04 +0530] "GET /EnotesProject/addNotes.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:22:04 +0530] "GET /EnotesProject/login.jsp HTTP/1.1" 200 3847
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:22:05 +0530] "GET /EnotesProject/showNotes.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:22:05 +0530] "GET /EnotesProject/login.jsp HTTP/1.1" 200 3847
